Year,Homelessness,Transitional housing,Incremental housing,Social housing,Market housing,Housing in general
2014,0.0768121860454145,0.330663140135866,0.0795057707440312,0.115487871452124,0.0377894570902793,0.407426699688514
2015,0.00625560493345504,0.444847995965606,0.100207797873012,0.0721080243935394,0.0809984997739622,0.303071169454942
2016,0.00344107881404137,0.636976129773958,0.0524646751397738,0.0475626617892995,0.0663360307610461,0.201139869544609
2017,0.0177053982114086,0.638413503508778,0.0744216369422036,0.0942783203316178,0.01950281068499,0.167393853310269
2018,0.0232596039552082,0.59665197357108,0.0404022027696005,0.0468604504767096,0.0382381302961191,0.26673512463107
2019,0.00632101371720804,0.472054904267225,0.0421709905575232,0.090918493178841,0.0489338930166765,0.310931400263712
2020,0.00722922040791317,0.548616163208008,0.0355649770470205,0.0745998288822711,0.0425396924270829,0.276548560962652
2021,0.00730042361444602,0.832959428380487,0.0260139217099173,0.045787244772463,0.0228473388843442,0.0678169564602146
2022,0.0377446675650604,0.863922446054047,0.013695995767904,0.0313913606868388,0.0264166486173826,0.0662344327140291
2023,0.00519407452783592,0.863568614056426,0.0160945913977614,0.0436054687781749,0.0193764742484834,0.0561557639488913
