Year,Transitional and Temporary Housing,Resilience and Reconstruction,Incremental and Improved Housing,Social Housing,Market Enabling,Housing Supply
2014,0.403565816799206,0.0625965925987812,0.077370370926966,0.0745731452237998,0.131471536709187,0.262526307287971
2015,0.471371230455456,0.0718808541295557,0.0736844918275198,0.0325718487294888,0.291890132200119,0.0925168559514286
2016,0.650586505957048,0.059575546228876,0.0542078544029048,0.0255623771296077,0.130205802594393,0.0809389882499337
2017,0.512578370449848,0.0732448538313297,0.0837223399802855,0.0892527665473136,0.169900377004365,0.0710692118890041
2018,0.594187683019711,0.0999388571283714,0.0727483549633677,0.0323240974056831,0.155496110734797,0.0519841960691061
2019,0.572339474474048,0.0709500170362796,0.0371359237151991,0.0618120698547945,0.123574161831325,0.117812903420489
2020,0.589214392002992,0.0660687054933184,0.0354211151370572,0.0462847486310665,0.146702113008859,0.104148029401468
2021,0.800312533653098,0.0386739225619811,0.0301786798690937,0.0335590601359976,0.078303812420489,0.0113242152630196
2022,0.855978564839919,0.0164905411607282,0.016091314401621,0.0300012338993163,0.0729361521125709,0.0161289618060928
2023,0.830622295295982,0.0489131699647335,0.0148304755548814,0.0258910878186778,0.0777164626297244,0.00887628577023181
