text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,summary AI,reasoning AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The project by FIGHT FOR PEACE INTERNATIONAL focuses on offering personal development, sports, education, employment opportunities, and social support services to vulnerable young people in Mare favela, Rio de Janeiro. Its primary goal is to reduce youth involvement in crime and violence by addressing underlying issues such as poverty, low education levels, and social marginalization.","The text describes efforts directed at providing educational and vocational opportunities to address the root causes of youth crime and violence in a slum area. This involves interventions related to personal development and community support rather than direct housing or shelter provision. The focus is on improving living conditions indirectly through education and employment, which may contribute to neighborhood integration but does not explicitly mention upgrading or improving housing directly.",False,False,False,True,False,False,False,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,The text describes a framework loan provided to financial intermediaries in South Africa for financing affordable and social housing projects along with associated urban infrastructure and social amenities.,"The activities described involve the provision of funding specifically for 'affordable and social housing projects', which directly aligns with the definition of the 'Social' class. The mention of 'social amenities' supports this classification as well, given that these are often linked to social housing initiatives. Additionally, the focus on urban infrastructure points towards an involvement in 'Urban' development activities. While there is a broader reference to funding mechanisms through financial intermediaries and associated urban infrastructure, the core activity remains centered around social housing.",False,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The project aims to boost the economic potential of the Imereti region by developing local tourism and promoting employment in this sector. It involves creating a tourist attractions guide, establishing a thematic website, training tour guides, and providing business skills training for service providers like restaurants and traditional craft workshops.","1. Housing: The text does not mention any activities related to housing provision, shelter, upgrading, or urban development. Therefore, it does not match the 'Housing' class.
2. Homelessness: There is no reference to tents for the homeless, encampments, or shelters. Thus, it does not belong to the 'Homelessness' class.
3. Transitional: The project does not involve housing due to crises/disasters/emergencies, refugee shelters, camps, or temporary supportive housing. Hence, it does not match the 'Transitional' class.
4. Incremental: There is no mention of slum upgrading, housing improvements/repairs, or neighborhood integration. Thus, it does not fit the 'Incremental' class.
5. Social: The text does not describe community land trusts, cooperative housing, public housing, affordable housing, or low-cost housing initiatives. Therefore, it does not match the 'Social' class.
6. Market: There is no reference to home-rental, mortgages, rent-to-own housing, or market-rate housing. Hence, it does not belong to the 'Market' class.
7. Urban: While the project involves urban tourism development in the Imereti region (including its largest city, Kutaisi), there are no explicit references to activities specifically located within an urban setting other than a general mention of regional potential. This makes it only partially applicable, but not sufficient for classification solely under 'Urban'.
8. Rural: The project aims at developing tourism in the Imereti region without specific mention of rural-focused activities. It primarily discusses regional attractions and services that may include both urban and potentially rural areas but lacks explicit focus on rural development alone.",False,False,False,False,False,False,False,False
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The project focuses on poverty reduction, housing improvements, land adjustment, social security charges, and insurance to support disadvantaged communities. It aims at enhancing capacity for income generation and promoting healthier homes within the context of urban development and management.","The text explicitly mentions 'housing improvements' which aligns with the definition of the Housing class that includes provision of shelter in emergencies, upgrading inadequate housing, and housing repairs or improvements. The aim to improve community income capacity and healthiness of homes can be seen as an aspect of social support, correlating with the Social class focused on affordable and low-cost housing solutions for disadvantaged communities. Furthermore, since the project is set within 'urban development and management', it fits into the Urban class by being explicitly described as related to activities in specific urban locations.",True,False,False,False,True,False,True,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The project involves the construction of 15 houses for poor families in Southern India. The initiative aims to provide initial capital funding to start building these homes in Haliyal, Uttara Kannada district, Karnataka, which is necessary to access further government subsidies and requires contributions from beneficiaries through labor.","The text mentions the construction of housing specifically designed as low-cost for poor families, fitting within the 'Social' classification due to its focus on affordable housing. It also falls under 'Housing' because it describes the direct provision of new homes and involves urban development aspects given that the location is a specific municipality in an Indian state. The project does not mention homelessness shelters, transitional crisis accommodations, or incremental improvements, thus excluding 'Homelessness', 'Transitional', and 'Incremental'. Additionally, there are no references to market-rate housing dynamics like rent-to-own arrangements or mortgages, ruling out the 'Market' category. While rural development is implied by the specific rural location of Haliyal, the text does not explicitly focus on rural activities alone, but rather a localized urban setting within a rural district.",True,False,False,False,True,False,True,False
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The text describes medical and physiological assistance provided to a transmigrated population that has been victims of violence in Mexico. The primary objectives are to improve their medical and humanitarian situation by offering quality medical aid, prioritizing the most vulnerable migrants, and extending services to migration stations, asylum seekers, and those not accessing shelters.","The text does not explicitly describe activities related to housing or shelter provision, making it a poor match for classes such as Housing, Homelessness, Transitional, Incremental, Social, Market, Urban, and Rural. The focus is on providing basic health care services rather than any form of housing assistance or improvement. While the context involves migration and temporary locations like migration stations, these are not described in relation to housing activities but instead as part of medical service expansion.",False,False,False,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The project aims to improve the habitat in Ndjoré III by studying possible enhancements and expansions of homes, addressing health and durability issues, conducting a population census, assessing the structural integrity of 83 self-built houses, proposing improvements, researching local techniques for proposing false ceilings to enhance thermal comfort, and constructing/installing two prototypes. The focus is on low-cost housing.","The text describes several activities related to improving existing housing conditions, such as studying enhancements, addressing health and durability issues, assessing structural integrity, and proposing improvements. These activities align with the definition of 'Incremental' as they involve slum upgrading, housing improvements/repairs, or neighborhood integration. The mention of 'low-cost housing' directly matches the 'Social' class, which includes affordable housing. There is no explicit mention of homelessness, transitional housing, market-rate housing, or specific urban/rural locations.",False,False,False,True,True,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The program is focused on providing shelter and urban services for vulnerable Syrian Internally Displaced Persons (IDPs). It aligns with the Swiss Federal Council's decision to enhance international cooperation in migration, specifically targeting return policies and coherent migration practices in asylum seekers' countries of origin.","The text mentions 'shelter,' which directly connects to housing provision, especially within an urban setting given it specifies services for Syrian IDPs. While there is no explicit mention of permanent housing, the context implies temporary or transitional shelter solutions due to displacement from conflict. The involvement of material relief assistance suggests addressing basic needs potentially including temporary shelters but does not specify homelessness services such as encampments or homeless shelters. There's no direct reference to incremental housing improvements or slum upgrading activities here. Similarly, there is no explicit mention of social housing elements like community land trusts or cooperative housing. The market class isn't mentioned as there are no references to financial products like mortgages or rent-to-own programs. 'Urban' classification applies due to the nature of services tailored for urban IDPs, though it's not explicitly stated. Lastly, while addressing a rural crisis may indirectly affect rural areas, the text does not specify any activities in specific rural locations.",True,False,True,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The project aims to provide comprehensive outreach and shelter for homeless individuals in Delhi, specifically targeting Yamuna Pushta for men and Jama Masjid for single women. It focuses on psychosocial care, raising awareness of basic rights, and facilitating access to public programs.","1. Housing: The project involves providing shelters for the homeless, which aligns with housing provision in emergencies. 
2. Homelessness: The explicit focus on homeless individuals makes this a direct match.
3. Transitional: While it addresses homelessness due to crises, it doesn't specifically mention temporary supportive housing or refugee camps.
4. Incremental: There is no mention of housing improvements, slum upgrading, or technical assistance related to incremental housing services.
5. Social: The focus on providing shelter and psychosocial care aligns with social protection efforts aimed at marginalized communities.
6. Market: No elements suggest market-rate housing, mortgages, or rental activities.
7. Urban: The project is located in Delhi, a specific urban area, making it an urban initiative.
8. Rural: There are no rural-specific activities mentioned.",True,True,False,False,True,False,True,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The text describes activities aimed at strengthening, implementing, and consolidating the rights of vulnerable children in Brazil, focusing on street children, favela dwellers, children in conflict with the law, and internally migrating children settling in expanding urban areas. The initiatives involve partnerships with six local organizations providing various services such as sheltering, integration, child rights sensitization, and policy influence, emphasizing family and community engagement.","The text does not explicitly mention housing or homelessness, but it discusses the reintegration of vulnerable children, which may imply some form of temporary supportive environments. However, there's no direct reference to transitional housing, refugee shelters, or emergency situations that would classify it under 'Transitional.' The description includes community and organizational engagement but lacks specific mentions of incremental development processes like slum upgrading or housing improvements, so it does not fit the 'Incremental' class. Similarly, terms related to social, market, or urban/rural classes are absent; no mention is made of public housing, cooperative models, mortgage systems, home rentals, specific urban locations, or rural activities.",False,False,True,False,False,False,False,False
