,donor_code,donor_name,recipient_code,recipient_name,sector_code,sector_name,measure_code,measure_name,channel_code,channel_name,flow_code,flow_name,flow_type_code,flow_type_name,data_type_code,amount_type,md_dim_name,md_id,unit_measure_code,unit_measure_name,year,value,base_period,status_name,unit_multiplier,donor_agency_code,crs_id,project_id,region_code,income_group_code,channel_delivery_code,channel_delivery_name,category_code,category_name,finance_type_code,finance_type_name,bi_multi_code,short_description,project_title,long_description,sdg_focus,gender_equality,environment,governance,rmnch,drr,nutrition,disability,biodiversity,climate_mitigation,climate_adaptation,desertification,amount_tied,amount_untied,nature_of_submission
0,5,Germany,218,South Africa,16030,Housing policy and administrative management,60,Private sector instruments (PSI),60000,Private sector institutions,C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,29966023,USD,US dollar,2023,3.993844,2022,Normal value,6,Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),2022917614DA1,DEG000000017614,South of Sahara,UMICs,60000,Other non-financial corporations,60,PSI,421,Standard loan,1,LONG TERM DEBT IN HOUSING POLICY AND ADMINISTRATIVE MANAGEMENT,Long term debt in Housing policy and administrative management,Long term debt in Housing policy and administrative management,,0,1,,,,,,0,1,0,0,,,3
1,5,Germany,218,South Africa,16030,Housing policy and administrative management,60,Private sector instruments (PSI),60000,Private sector institutions,C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,29971134,USD,US dollar,2023,7.275502,2022,Normal value,6,Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),2022917848DA1,DEG000000017848,South of Sahara,UMICs,60000,Other non-financial corporations,60,PSI,421,Standard loan,1,LONG TERM DEBT IN HOUSING POLICY AND ADMINISTRATIVE MANAGEMENT,Long term debt in Housing policy and administrative management,Long term debt in Housing policy and administrative management,,0,1,,,,,,0,1,0,0,,,3
2,5,Germany,218,South Africa,16030,Housing policy and administrative management,60,Private sector instruments (PSI),60000,Private sector institutions,C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,29971135,USD,US dollar,2023,1.216446,2022,Normal value,6,Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),2022917962DA1,DEG000000017962,South of Sahara,UMICs,60000,Other non-financial corporations,60,PSI,421,Standard loan,1,LONG TERM DEBT IN HOUSING POLICY AND ADMINISTRATIVE MANAGEMENT,Long term debt in Housing policy and administrative management,Long term debt in Housing policy and administrative management,,0,1,,,,,,0,1,0,0,,,3
3,1614,Charity Projects Ltd (Comic Relief),248,Kenya,16030,Housing policy and administrative management,30,Private Development Finance,20000,NGOs & civil society,C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,25102801,USD,US dollar,2021,0.008348,2022,Normal value,6,Charity Projects Ltd,2021000209,794829,South of Sahara,LMICs,20000,Developing country-based NGO,30,Private Development Finance,110,Standard grant,6,KIBERA FUND II - ENHANCING SECURE LIVELIHOODS FOR SLUM RESIDENTS,Kibera Fund II - Enhancing Secure Livelihoods for Slum Residents,"Kibera, on the edge of Nairobi, is the largest slum in Africa, with over a million people living in crowded conditions. Few people are in school or have regular jobs.This grant will enable a well-respected Kenyan grant-making foundation to support local organisations based in Kibera with funds, training and advice, with a particular emphasis on youth, women and sustainability. These organisations will be encouraged to become self-supporting so that they can raise funding from other local donors and implement a wide variety of activities to help some of the poorest people improve their lives.In addition, the grant will facilitate some of Comic Relief's communications work in Kibera.",8.5;4.4;4.1;3.8;2.2;16.3;11.b;11.1;10.5;1.4,0,,,,,,,0,0,0,,,,3
4,1614,Charity Projects Ltd (Comic Relief),251,Liberia,16030,Housing policy and administrative management,30,Private Development Finance,30000,Public-private partnerships (PPP),C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,24114083,USD,US dollar,2020,0.032368,2022,Normal value,6,Charity Projects Ltd,2020000011,1278274,South of Sahara,LDCs,30000,Cities Alliance,30,Private Development Finance,110,Standard grant,6,MONROVIA CITY PROGRAMME,Monrovia City Programme,"Almost a quarter of the people in Liberia live in the slums of Monrovia, with very poor housing, poor water supply, and very little sanitation. The 2014 Ebola outbreak destroyed many lives and many people lost their jobs and sources of income.This project aims to help slum dwellers organise themselves. They will be assisted to document their living conditions, and the findings will help influence wider government policy on slums. These groups will be assisted to start savings schemes, and these will be used to help them start small businesses The project will also set up a Community Fund which will enable slum dwellers to make improvements in their houses and their living conditions. The National Lottery Community Fund funded 2 percent of this grant - this share is excluded to avoid double counting in the DAC statistics. Full grant amount: GBP 50000",8.2;6.2;11.1;10.2,0,,,,,,,0,0,0,,,,8
5,1614,Charity Projects Ltd (Comic Relief),251,Liberia,16040,Low-cost housing,30,Private Development Finance,30000,Public-private partnerships (PPP),C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,25102449,USD,US dollar,2021,0.000744,2022,Normal value,6,Charity Projects Ltd,2021000007,1278274,South of Sahara,LDCs,30000,Cities Alliance,30,Private Development Finance,110,Standard grant,6,MONROVIA CITY PROGRAMME,Monrovia City Programme,"Almost a quarter of the people in Liberia live in the slums of Monrovia, with very poor housing, poor water supply, and very little sanitation. The 2014 Ebola outbreak destroyed many lives and many people lost their jobs and sources of income.This project aims to help slum dwellers organise themselves. They will be assisted to document their living conditions, and the findings will help influence wider government policy on slums. These groups will be assisted to start savings schemes, and these will be used to help them start small businesses The project will also set up a Community Fund which will enable slum dwellers to make improvements in their houses and their living conditions.",8.3;2.3;11.b;10.1,0,,,,,,,0,0,0,,,,3
6,1614,Charity Projects Ltd (Comic Relief),251,Liberia,16040,Low-cost housing,30,Private Development Finance,30000,Public-private partnerships (PPP),C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,23543550,USD,US dollar,2019,0.182154,2022,Normal value,6,Charity Projects Ltd,2016000017,1278274,South of Sahara,LDCs,30000,Cities Alliance,30,Private Development Finance,110,Standard grant,6,CITIES ALLIANCE,Cities Alliance,"Primary goal (Comic Relief): Slum dwellers. Related issues (Comic Relief): Lack of voice, influence, agency. Summary: Almost a quarter of the people in Liberia live in the slums of Monrovia, with very poor housing, poor water supply, and very little sanitation. The 2014 Ebola outbreak destroyed many lives and many people lost their jobs and sources of income. This project aims to help slum dwellers organise themselves. They will be assisted to document their living conditions, and the findings will help influence wider government policy on slums. These groups will be assisted to start savings schemes, and these will be used to help them start small businesses The project will also set up a Community Fund which will enable slum dwellers to make improvements in their houses and their living conditions. Big Lottery Fund funded 78 percent of this grant but the whole amount is attributed to Comic Relief as no double-counting occurs. Full grant commitment: GBP 3940.345 thousand.",,,,,,,,,,,,,,,3
7,1614,Charity Projects Ltd (Comic Relief),251,Liberia,16040,Low-cost housing,30,Private Development Finance,30000,Public-private partnerships (PPP),C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,21141396,USD,US dollar,2016,0.568315,2022,Normal value,6,Charity Projects Ltd,2016000017,1278274,South of Sahara,LDCs,30000,Cities Alliance,30,Private Development Finance,110,Standard grant,6,CITIES ALLIANCE,Cities Alliance,"Primary goal (Comic Relief): Slum dwellers. Related issues (Comic Relief): Lack of voice, influence, agency. Summary: Almost a quarter of the people in Liberia live in the slums of Monrovia, with very poor housing, poor water supply, and very little sanitation. The 2014 Ebola outbreak destroyed many lives and many people lost their jobs and sources of income. This project aims to help slum dwellers organise themselves. They will be assisted to document their living conditions, and the findings will help influence wider government policy on slums. These groups will be assisted to start savings schemes, and these will be used to help them start small businesses The project will also set up a Community Fund which will enable slum dwellers to make improvements in their houses and their living conditions. Big Lottery Fund funded 78 percent of this grant but the whole amount is attributed to Comic Relief as no double-counting occurs. Full grant commitment: GBP 3940.345 thousand.",,0,0,0,0,,,,0,0,0,0,,,8
8,1614,Charity Projects Ltd (Comic Relief),251,Liberia,16040,Low-cost housing,30,Private Development Finance,30000,Public-private partnerships (PPP),C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,22138965,USD,US dollar,2017,0.173519,2022,Normal value,6,Charity Projects Ltd,2016000017,1278274,South of Sahara,LDCs,30000,Cities Alliance,30,Private Development Finance,110,Standard grant,6,CITIES ALLIANCE,Cities Alliance,"Primary goal (Comic Relief): Slum dwellers. Related issues (Comic Relief): Lack of voice, influence, agency. Summary: Almost a quarter of the people in Liberia live in the slums of Monrovia, with very poor housing, poor water supply, and very little sanitation. The 2014 Ebola outbreak destroyed many lives and many people lost their jobs and sources of income. This project aims to help slum dwellers organise themselves. They will be assisted to document their living conditions, and the findings will help influence wider government policy on slums. These groups will be assisted to start savings schemes, and these will be used to help them start small businesses The project will also set up a Community Fund which will enable slum dwellers to make improvements in their houses and their living conditions. Big Lottery Fund funded 78 percent of this grant but the whole amount is attributed to Comic Relief as no double-counting occurs. Full grant commitment: GBP 3940.345 thousand.",,0,0,0,0,,,,0,0,0,0,,,3
9,1614,Charity Projects Ltd (Comic Relief),248,Kenya,16030,Housing policy and administrative management,30,Private Development Finance,20000,NGOs & civil society,C01,Project-type interventions,D,Disbursements,D,Constant prices,Project/programme,23541729,USD,US dollar,2019,0.000649,2022,Normal value,6,Charity Projects Ltd,2013900004,111443,South of Sahara,LMICs,20000,Donor country-based NGO,30,Private Development Finance,110,Standard grant,6,AMNESTY INTERNATIONAL UK SECTION CHARIITABLE TRUST,Amnesty International UK Section Chariitable Trust,Primary goal (Comic Relief): NULL. Related issues (Comic Relief): Slum dweller. Summary: NULL.,,,,,,,,,,,,,,,3
