text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,summary AI,reasoning AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The project by Fight for Peace International aims to address youth involvement in crime and violence within Mare favela, a dangerous slum in Rio de Janeiro, through personal development programs, sports, education, employment opportunities, and social support services. The focus is on vulnerable young people who are at risk due to factors like poverty, low education levels, and social marginalization.","The text does not explicitly mention housing or related activities such as provision of shelter, construction, upgrading, or any direct aspects of the housing sector. It focuses instead on vocational training and socio-economic support for youth within an urban slum setting. However, it describes addressing issues prevalent in a specific urban location (Mare favela), which connects to the 'Urban' classification due to the targeted area being an urban slum.",False,False,False,False,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,The text describes a framework loan aimed at providing funds to financial intermediaries for supporting affordable and social housing projects along with related urban infrastructure in South Africa.,"The text explicitly mentions 'affordable and social housing projects,' which matches the definition of 'Social' due to its focus on affordable housing. The inclusion of 'associated urban infrastructure, including social amenities' aligns with both 'Housing' (due to the provision of necessary services and upgrades) and 'Urban' because it involves development in specific urban areas.",True,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The project aims to enhance the economic potential of the Imereti region through tourism development and employment promotion in the tourism sector. This includes creating a tourist guide with maps, developing a thematic website for regional tourism, distributing materials among interested firms and institutions, training local tour guides, and improving business services related to tourism like restaurants and accommodations.","The text describes activities focused on tourism development rather than housing or living conditions directly. There is no mention of providing housing, shelter, or addressing homelessness. It does not describe transitional or temporary housing solutions as it relates to crises/disasters/emergencies. Incremental housing improvements are also not mentioned. Social housing initiatives like community land trusts and public housing are absent in the text. Market-related activities such as home rental or mortgages aren't described either.

While urban or rural classifications could be considered since tourism development often occurs in specific geographic settings, there's no explicit mention of activities being targeted specifically at urban or rural locations. The focus is on enhancing tourism and economic potential rather than describing characteristics or developments tied explicitly to an urban or rural setting.",False,False,False,False,False,False,False,False
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The project focuses on poverty reduction, housing improvements, land adjustments, social security charges, and insurance. It aims to support disadvantaged communities by improving their capacity for income generation and ensuring healthier homes, specifically within the context of urban development and management.","The text mentions 'housing improvements,' which aligns with the Housing class definition involving upgrading inadequate housing. The project's focus on 'income generation' and supporting 'disadvantaged communities' could relate to Social aspects like affordable or low-cost housing, but it isn't explicitly mentioned. The reference to 'urban development and management' directly correlates with activities described in the Urban class. There are no explicit mentions of homelessness-related elements, transitional housing due to crises, incremental site-specific improvements, market-rate housing solutions, or rural-specific activities.",True,False,False,False,False,False,True,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The project involves the construction of 15 houses for poor families in Southern India, specifically in Haliyal, Uttara Kannada district, Karnataka. The initiative provides initial capital funding to start building these homes as a prerequisite for receiving further government subsidies and requires beneficiary contribution through labor.","The text explicitly describes the construction of housing units, indicating an activity within the 'Housing' category. Additionally, it specifies that this is low-cost housing, which directly corresponds with the 'Social' class due to its focus on affordability for underprivileged families. There are no mentions of homelessness-related facilities or transitional housing, so those categories do not apply. The text does not explicitly mention urban or rural settings beyond a general location in Southern India; however, it implies a rural setting given that Haliyal is a taluk, which suggests smaller, possibly more rural administrative divisions. The description does not involve market-rate homes or typical real estate transactions like rentals or mortgages, excluding the 'Market' category. Incremental approaches such as slum upgrading or housing improvements are also absent from the text.",True,False,False,False,True,False,False,True
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The text describes activities aimed at improving the medical and humanitarian situation for a transmigrated population in Mexico who are victims of violence. The focus is on providing quality medical assistance, prioritizing vulnerable migrant populations, and expanding healthcare services to migration stations, asylum seekers, and individuals not accessing shelters.","1. Housing: There is no explicit mention of provision or improvement of housing/shelters, so it does not fit this category.
2. Homelessness: The text does not describe tents, encampments, or homeless shelters specifically for the homeless, so this class is not applicable.
3. Transitional: While the population described may be in a crisis due to violence and migration, there is no explicit mention of housing provided as a result of crises/disasters/emergencies such as refugee camps or temporary supportive housing, which are key indicators for this category.
4. Incremental: The text does not describe any form of housing sites, slum upgrading, or neighborhood integration activities.
5. Social: There is no explicit mention of community land trusts, cooperative housing, public housing, affordable housing, or low-cost housing initiatives.
6. Market: The text lacks descriptions related to home-rental, mortgages, rent-to-own housing, or market-rate housing.
7. Urban: Although the activities may occur in urban areas (like migration stations), there is no explicit mention of specific urban locations within the text.
8. Rural: Similar to 'Urban,' while some activities might be relevant to rural settings (migration routes can traverse both), there are no explicit mentions or descriptions of rural-specific activities.",False,False,False,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The project focuses on studying and proposing improvements to the housing conditions in the Ndjoré III area, specifically addressing issues related to health and durability of self-constructed houses. It involves conducting a census of the population, evaluating the structural integrity of existing homes, researching local construction techniques for improved thermal comfort through false ceilings, and building and installing two prototypes.","The text explicitly mentions 'Low-cost housing,' which directly aligns with the 'Social' class as it refers to affordable housing options. The activities described include improving and expanding houses, resolving health issues, enhancing durability, evaluating structural integrity, researching local techniques for comfort improvements, and building prototypes, all of which are related to upgrading and providing better living conditions in existing homes. These activities fit within the scope of 'Incremental' as they involve slum upgrading, housing improvements/repairs, and neighborhood integration efforts. The project's focus on self-constructed homes and local techniques indicates an emphasis on community involvement, which is a characteristic of social housing initiatives.",False,False,False,True,True,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The program focuses on providing shelter and urban services for vulnerable Syrian internally displaced persons (IDPs), as part of international cooperation efforts described by the Federal Council's report on International Migration Cooperation. It aims to protect Swiss interests related to return policies and promote coherent migration policies in asylum seekers' countries of origin.","The text explicitly mentions 'shelter,' which aligns with the 'Housing' class as it involves providing shelter, especially in the context of emergencies or for vulnerable populations like IDPs. The urban setting is implied by the term 'urban services,' matching the 'Urban' class due to activities directed towards a specific urban location or context. There's no explicit mention of homelessness shelters, transitional housing specifics (like refugee camps), incremental improvements, social housing initiatives, market-related housing solutions, or rural activities.",True,False,False,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The 'Good Neighbour Project 2013' aims to provide comprehensive outreach, shelter, and psychosocial support for homeless individuals in two specific areas of Delhi - Yamuna Pushta for men and Jama Masjid for single women. The project also focuses on building awareness about basic rights and access to public programs.","The text describes the provision of shelter specifically targeting homelessness, aligning with the 'Homelessness' class as it mentions tents or encampments implicitly through the phrase 'shelter for the homeless.' Additionally, since the initiative involves providing psychosocial care and building awareness about basic rights, which are broader social support services, this can also be seen to fall under 'Social,' given that it addresses community welfare. The project's implementation in specific areas within an urban environment (Delhi) aligns with 'Urban' activities as well.",False,True,False,False,True,False,True,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The initiative aims to strengthen, implement, and consolidate the rights of vulnerable children in Brazil, specifically targeting street children, favela children, children involved with law enforcement, and internally displaced children who settle in growing favelas of newly industrialized cities. The program involves six local organizations specializing in sheltering, integration, child rights awareness, and policy influence. It focuses on community-based, integrative processes within the children's environments to enhance protective and preventive interventions.","- Housing: While the initiative involves activities related to housing vulnerable children (e.g., street and favela children), it does not explicitly describe provision of housing or shelter construction.
- Homelessness: The text mentions street and favela children but doesn't specifically focus on providing shelters, tents, or encampments for homeless people.
- Transitional: The activities described focus on long-term integration and rights implementation rather than temporary solutions like refugee camps or crisis-related shelters.
- Incremental: There is no explicit mention of housing site services, slum upgrading, or neighborhood integration in terms of housing improvements.
- Social: Activities are aimed at supporting vulnerable children through integrative processes and strengthening local organizations but do not specifically describe public, affordable, or low-cost housing initiatives.
- Market: The text does not discuss market-rate housing, home rental, mortgages, or rent-to-own schemes.
- Urban: The initiative explicitly mentions activities in the favelas of newly industrialized cities, indicating a focus on urban settings.
- Rural: While there is mention of internally displaced children, there is no specific reference to rural-focused initiatives.",False,False,False,False,False,False,True,False
