text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,summary AI,reasoning AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The project by Fight for Peace International aims to address youth involvement in crime and violence in one of Rio de Janeiro's most dangerous slums, Mare favela. It focuses on providing personal development, sports, education, employment opportunities, and social support services to help young people realize their full potential, enhance social cohesion, and promote peace within the community.","The text describes a project targeting a specific urban area (Mare favela in Rio de Janeiro), focusing on improving conditions for vulnerable youth through non-housing related activities like vocational training, sports, and education. There is no explicit mention of providing or upgrading housing, shelters, or dealing directly with homelessness or transitional living situations. However, the project's location within an urban setting aligns it partially with urban classification due to its focus on a specific city area.",False,False,False,False,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,The text describes a framework loan intended for financial intermediaries to fund affordable and social housing projects along with associated urban infrastructure and social amenities in South Africa. The focus is on urban development.,"The mention of 'affordable and social housing' directly aligns with the Social class, as it includes community land trusts, cooperative housing, public housing, affordable housing, or low-cost housing. Furthermore, the provision of funding for these projects suggests inclusion in the Housing class due to the involvement of financing for housing developments. The reference to 'urban infrastructure' and activities taking place throughout South Africa indicates a focus on Urban development.",True,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The project aims to enhance the economic potential of the Imereti region through the development of local tourism and promotion of employment in tourism. It includes creating a tourist attraction description, a thematic website, distributing materials, training tour guides, and providing business training for service providers.","1. Housing: The text does not mention any activities related to housing provision or shelter, so it doesn't match the 'Housing' class.
2. Homelessness: There are no references to solutions for homelessness such as shelters or encampments; thus, it doesn't fit the 'Homelessness' category.
3. Transitional: The text does not discuss any temporary or crisis-related housing solutions, so it is not a match with 'Transitional'.
4. Incremental: There are no mentions of slum upgrading, housing improvements, or neighborhood integration; hence, it doesn't align with the 'Incremental' class.
5. Social: The text does not reference community land trusts, cooperative housing, public housing, affordable housing, or low-cost housing solutions, so it is not a match for the 'Social' class.
6. Market: There are no references to home rentals, mortgages, rent-to-own housing, or market-rate housing, which means it doesn't fit into the 'Market' category.
7. Urban: The project focuses on the Imereti region without specifying any urban locations, so it doesn’t directly match with 'Urban'.
8. Rural: Similarly, there are no specific rural activities mentioned; however, considering the regional context and potential for non-urban tourism development (e.g., traditional crafts, nature attractions), there might be an indirect implication of rural involvement.
The focus is on enhancing tourism and local employment rather than housing or urban/rural development specifically related to housing.",False,False,False,False,False,False,False,True
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The project aims to support disadvantaged communities by enhancing their capacity for income generation and improving housing conditions. It focuses on poverty reduction, housing improvements, and adjustment of land through social security charges and insurance mechanisms. The sector involved is urban development and management.","The text explicitly mentions 'housing improvements,' which aligns with the definition of the 'Housing' class as it involves upgrading inadequate housing. Furthermore, since the project is situated in 'Urban development and management,' this directly corresponds to activities described within the 'Urban' class. There are no explicit references to homelessness, transitional shelters, incremental developments, specific social or market housing mechanisms, nor rural locations.",True,False,False,False,False,False,True,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The project involves the construction of 15 houses for poor families in Southern India, specifically in the Haliyal taluk of Uttara Kannada district, Karnataka. The initiative is focused on providing low-cost housing to lower-income classes. Funding includes an initial capital investment (18.19% of total budget) required by local government regulations as a prerequisite for obtaining further substantial subsidies (68.18%) and contributions from beneficiaries through labor (approximately 13.63%).","The text explicitly describes the provision of housing with the construction of houses specifically targeted at poor families, which aligns with the 'Housing' category. The focus on low-cost housing matches the 'Social' category as it includes affordable housing for lower-income classes. The rural setting in Haliyal taluk further supports a classification under 'Rural'. There is no mention of homelessness, transitional shelter, incremental improvements, urban settings, or market-rate housing; therefore, those categories do not apply.",True,False,False,False,True,False,False,True
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The text describes efforts to improve the medical and humanitarian situation for a transmigrated population that is victims of violence in Mexico. The primary objectives include providing quality medical assistance, prioritizing vulnerable migrants, and expanding attention to migration stations, asylum seekers, and those not attending shelters.","The activities described focus on providing basic health care services, which does not directly align with any of the housing-related classes outlined. While there is a mention of 'estaciones de migración' (migration stations) and populations that do not attend shelters, these are contexts for providing medical assistance rather than direct descriptions of housing provision or related activities. Therefore, none of the categories specifically focusing on housing, homelessness, transitional living arrangements, or similar sectors are explicitly matched with the content.",False,False,False,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The project focuses on improving the habitat of NDJORÉ III by assessing and proposing enhancements to existing self-built homes, addressing issues related to health and durability. It involves population census, structural integrity assessment of 83 houses, research into local techniques for a prototype false ceiling to enhance thermal comfort, and construction/installation of two prototypes in the context of low-cost housing.","The text describes activities centered around improving and assessing existing homes, which aligns with housing improvements/repairs. The mention of 'low-cost housing' directly links it to social housing due to its focus on affordability. There are no indications of homelessness, transitional shelters, market-rate activities, or specific urban or rural locations. Incremental is matched due to the nature of home improvements and enhancements.",True,False,False,True,True,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The program aims to implement international cooperation in migration, focusing on material relief assistance and services for Syrian internally displaced persons (IDPs). It involves activities funded by the Federal Office for Migration (FOM) to defend Swiss interests and promote coherent migration policies.","The text describes providing shelter and urban services to vulnerable Syrian IDPs. This indicates a focus on addressing immediate housing needs due to crises, fitting into transitional housing as it pertains to crisis/disaster/emergency scenarios like displacement. The mention of 'urban services' suggests activities occurring in urban areas, aligning with the urban class.",False,False,True,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The Good Neighbour Project 2013 aims to provide comprehensive outreach and shelter for homeless individuals in Delhi, specifically targeting men at Yamuna Pushta and single women at Jama Masjid. The project focuses on psychosocial care and enhancing awareness of basic rights and public programs.","The text describes the provision of shelter for the homeless in specific areas (Yamuna Pushta and Jama Masjid), which aligns with both 'Homelessness' and 'Transitional' categories. It mentions outreach, psychosocial care, and awareness of basic rights, fitting under the 'Social' category due to its focus on community support and social protection services.",False,True,True,False,True,False,False,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The activities described focus on empowering vulnerable children by strengthening their rights through local partnerships and community integration in urban settings, particularly in favelas of industrialized cities. The program aims to improve the social and familial reintegration of these children using alternative NGO models and raise awareness about child rights among both children and adults. A transition from a zero-tolerance policy towards vulnerable children to an inclusive approach has been initiated.","- **Housing**: While there's mention of activities in favelas, which are informal settlements often lacking adequate housing, the text does not explicitly describe activities directly related to the provision or improvement of housing.
- **Homelessness**: The program targets children who might be living in precarious conditions, such as street children and those from favelas, but it doesn't specifically address providing tents, encampments, or shelters for the homeless.
- **Transitional**: There is no explicit mention of temporary shelters or housing due to crises/disasters/emergencies, making this class not applicable.
- **Incremental**: The focus on improving social and familial integration and community involvement could relate to incremental improvements in living conditions but does not directly describe slum upgrading or housing repairs/repairs.
- **Social**: Activities aim at strengthening vulnerable children's rights and involve community land trusts, cooperative efforts among local organizations, which align with the concept of social initiatives intended to provide affordable, inclusive services and housing opportunities. The emphasis on child-friendly approaches in policy also supports this classification.
- **Market**: There is no explicit mention or focus on market-rate housing, home rentals, mortgages, or rent-to-own schemes, so this class is not applicable.
- **Urban**: The activities are explicitly located in the growing favelas of newly industrialized urban areas, clearly fitting the definition for urban-focused initiatives.
- **Rural**: There's no indication that these activities take place in rural settings; they are specific to urban favelas.",False,False,False,False,True,False,True,False
