word,input_phrase,concept
housing provision,housing provision,Housing in general
housing,housing provision,Housing in general
vivienda,housing provision,Housing in general
logement,housing provision,Housing in general
wohnraum,housing provision,Housing in general
abitazione,housing provision,Housing in general
mieszkalnictwo,housing provision,Housing in general
habitação,housing provision,Housing in general
shelter provision,shelter provision,Housing in general
shelter,shelter provision,Housing in general
albergue,shelter provision,Housing in general
abri,shelter provision,Housing in general
unterkunft,shelter provision,Housing in general
rifugio,shelter provision,Housing in general
schronisko,shelter provision,Housing in general
abrigo,shelter provision,Housing in general
housing construction,housing construction,Housing in general
housebuilding,housing construction,Housing in general
construcción de casas,housing construction,Housing in general
construction de maisons,housing construction,Housing in general
hausbau,housing construction,Housing in general
costruzione di case,housing construction,Housing in general
budowa domów,housing construction,Housing in general
construção de casas,housing construction,Housing in general
shelter construction,shelter construction,Housing in general
homebuilding,shelter construction,Housing in general
construcción de viviendas,shelter construction,Housing in general
hausbau,shelter construction,Housing in general
costruzione di abitazioni,shelter construction,Housing in general
budownictwo mieszkaniowe,shelter construction,Housing in general
construção de habitações,shelter construction,Housing in general
housing policy,housing policy,Housing in general
wohnungswesen,housing policy,Housing in general
policy,housing policy,Housing in general
política,housing policy,Housing in general
politique,housing policy,Housing in general
politik,housing policy,Housing in general
politica,housing policy,Housing in general
polityka,housing policy,Housing in general
technical assistance for housing,technical assistance for housing,Housing in general
technical assistance,technical assistance for housing,Housing in general
asistencia técnica,technical assistance for housing,Housing in general
assistance technique,technical assistance for housing,Housing in general
technische unterstützung,technical assistance for housing,Housing in general
assistenza tecnica,technical assistance for housing,Housing in general
pomoc techniczna,technical assistance for housing,Housing in general
assistência técnica,technical assistance for housing,Housing in general
wohnung,technical assistance for housing,Housing in general
mieszkanie,technical assistance for housing,Housing in general
residential construction,residential construction,Housing in general
construction résidentielle,residential construction,Housing in general
wohnungsbau,residential construction,Housing in general
costruzione residenziale,residential construction,Housing in general
construção residencial,residential construction,Housing in general
housing development,housing development,Housing in general
subdivision,housing development,Housing in general
subdivisión,housing development,Housing in general
lotissement,housing development,Housing in general
wohnsiedlung,housing development,Housing in general
lottizzazione,housing development,Housing in general
osiedle,housing development,Housing in general
loteamento,housing development,Housing in general
dwelling,housing development,Housing in general
wohnung,housing development,Housing in general
alloggio,housing development,Housing in general
urban housing,urban housing,Housing in general
wohnungswesen,urban housing,Housing in general
apartment,urban housing,Housing in general
apartamento,urban housing,Housing in general
appartement,urban housing,Housing in general
wohnung,urban housing,Housing in general
appartamento,urban housing,Housing in general
rural housing,rural housing,Housing in general
farmhouse,rural housing,Housing in general
casa de campo,rural housing,Housing in general
maison de ferme,rural housing,Housing in general
bauernhaus,rural housing,Housing in general
casa colonica,rural housing,Housing in general
dom wiejski,rural housing,Housing in general
bungalow,rural housing,Housing in general
bungaló,rural housing,Housing in general
bangalô,rural housing,Housing in general
inclusive housing,inclusive housing,Housing in general
inclusion,inclusive housing,Housing in general
inclusión,inclusive housing,Housing in general
inklusion,inclusive housing,Housing in general
inclusione,inclusive housing,Housing in general
inkluzja,inclusive housing,Housing in general
inclusão,inclusive housing,Housing in general
accessibility,inclusive housing,Housing in general
accesibilidad,inclusive housing,Housing in general
accessibilité,inclusive housing,Housing in general
barrierefreiheit,inclusive housing,Housing in general
accessibilità,inclusive housing,Housing in general
dostępność,inclusive housing,Housing in general
acessibilidade,inclusive housing,Housing in general
housing access,housing access,Housing in general
tenancy,housing access,Housing in general
arrendamiento,housing access,Housing in general
location,housing access,Housing in general
mietverhältnis,housing access,Housing in general
locazione,housing access,Housing in general
wynajem,housing access,Housing in general
arrendamento,housing access,Housing in general
homeownership,housing access,Housing in general
propiedad de vivienda,housing access,Housing in general
accession à la propriété,housing access,Housing in general
wohneigentum,housing access,Housing in general
proprietà della casa,housing access,Housing in general
posiadanie domu,housing access,Housing in general
propriedade de habitação,housing access,Housing in general
homelessness,housing access,Housing in general
sinhogarismo,housing access,Housing in general
sans-abrisme,housing access,Housing in general
obdachlosigkeit,housing access,Housing in general
senza fissa dimora,housing access,Housing in general
bezdomność,housing access,Housing in general
sem-abrigo,housing access,Housing in general
dwelling construction,dwelling construction ,Housing in general
construction de logements,dwelling construction ,Housing in general
wohnungsbau,dwelling construction ,Housing in general
hausbau,dwelling construction ,Housing in general
smart housing,Smart housing ,Housing in general
smarthome,Smart housing ,Housing in general
hogar inteligente,Smart housing ,Housing in general
maison intelligente,Smart housing ,Housing in general
smart home,Smart housing ,Housing in general
casa intelligente,Smart housing ,Housing in general
inteligentny dom,Smart housing ,Housing in general
casa inteligente,Smart housing ,Housing in general
domotics,Smart housing ,Housing in general
domótica,Smart housing ,Housing in general
domotique,Smart housing ,Housing in general
domotik,Smart housing ,Housing in general
domotica,Smart housing ,Housing in general
domotyka,Smart housing ,Housing in general
home automation,Smart housing ,Housing in general
automatización del hogar,Smart housing ,Housing in general
automatisation de la maison,Smart housing ,Housing in general
hausautomation,Smart housing ,Housing in general
automazione domestica,Smart housing ,Housing in general
automatyzacja domu,Smart housing ,Housing in general
automação residencial,Smart housing ,Housing in general
public private partnerships (ppps) for housing,Public Private Partnerships (PPPs) for housing,Housing in general
ppp,Public Private Partnerships (PPPs) for housing,Housing in general
app,Public Private Partnerships (PPPs) for housing,Housing in general
ppp,Public Private Partnerships (PPPs) for housing,Housing in general
öpp,Public Private Partnerships (PPPs) for housing,Housing in general
ppp,Public Private Partnerships (PPPs) for housing,Housing in general
ppp,Public Private Partnerships (PPPs) for housing,Housing in general
ppp,Public Private Partnerships (PPPs) for housing,Housing in general
"capacity building for housing, land and property (hlp)","Capacity building for Housing, Land and Property (HLP)",Housing in general
training,"Capacity building for Housing, Land and Property (HLP)",Housing in general
formación,"Capacity building for Housing, Land and Property (HLP)",Housing in general
formation,"Capacity building for Housing, Land and Property (HLP)",Housing in general
schulung,"Capacity building for Housing, Land and Property (HLP)",Housing in general
formazione,"Capacity building for Housing, Land and Property (HLP)",Housing in general
szkolenie,"Capacity building for Housing, Land and Property (HLP)",Housing in general
treinamento,"Capacity building for Housing, Land and Property (HLP)",Housing in general
land,"Capacity building for Housing, Land and Property (HLP)",Housing in general
tierra,"Capacity building for Housing, Land and Property (HLP)",Housing in general
terre,"Capacity building for Housing, Land and Property (HLP)",Housing in general
land,"Capacity building for Housing, Land and Property (HLP)",Housing in general
terra,"Capacity building for Housing, Land and Property (HLP)",Housing in general
ziemia,"Capacity building for Housing, Land and Property (HLP)",Housing in general
property,"Capacity building for Housing, Land and Property (HLP)",Housing in general
propiedad,"Capacity building for Housing, Land and Property (HLP)",Housing in general
propriété,"Capacity building for Housing, Land and Property (HLP)",Housing in general
eigentum,"Capacity building for Housing, Land and Property (HLP)",Housing in general
proprietà,"Capacity building for Housing, Land and Property (HLP)",Housing in general
własność,"Capacity building for Housing, Land and Property (HLP)",Housing in general
propriedade,"Capacity building for Housing, Land and Property (HLP)",Housing in general
hlp,"Capacity building for Housing, Land and Property (HLP)",Housing in general
hlp,"Capacity building for Housing, Land and Property (HLP)",Housing in general
hlp,"Capacity building for Housing, Land and Property (HLP)",Housing in general
hlp,"Capacity building for Housing, Land and Property (HLP)",Housing in general
hlp,"Capacity building for Housing, Land and Property (HLP)",Housing in general
