text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI,thoughts AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,"Housing: The text does not explicitly mention housing provision or related activities; therefore, it is not a match.
Homelessness: There is no explicit mention of tents, encampments, or shelters for the homeless, so this class does not apply.
Transitional: The description lacks references to emergency shelters, refugee camps, or temporary supportive housing, excluding this category.
Incremental: While slum upgrading might be inferred due to the focus on social support in a favela context, there is no explicit mention of housing sites, services, or structural repairs. Thus, it doesn't clearly match.
Social: The project involves social support services and aims at increasing social cohesion, which could align with community-based approaches like cooperative housing but lacks direct references to specific models like community land trusts or public housing. It is not a clear match.
Market: There are no elements related to home-rental, mortgages, rent-to-own housing, or market-rate housing in the text.
Urban: The project is situated in Mare favela, an urban area of Rio de Janeiro, making this class a clear fit due to its specific urban location focus.
Rural: As the activity takes place in an urban slum, rural activities are not applicable here."
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,"Housing: The text explicitly mentions 'affordable and social housing projects', aligning well with the provision of housing.
Homelessness: There is no mention of tents, encampments, or shelters for the homeless, so this does not match.
Transitional: The project lacks reference to emergency shelters, refugee camps, or temporary supportive housing, thus it's not a match.
Incremental: Terms like housing sites, structural repairs, and slum upgrading are absent, making this an unfit classification.
Social: Social housing is explicitly mentioned, matching the 'social' class definition directly.
Market: There’s no mention of home-rental, mortgages, or market-rate housing, so it does not fit here.
Urban: The project is described within the context of urban development and management, indicating activities in an urban setting.
Rural: The location mentioned is South Africa without specifying rural areas, therefore this does not apply."
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Housing: The text does not explicitly mention any activities related to housing provision, construction, or policy. Therefore, it is not a match.
Homelessness: There are no references to tents, encampments, or shelters specifically for the homeless, so this class does not apply.
Transitional: The project description lacks mention of emergency or temporary supportive housing such as refugee camps or shelters, thus not fitting this category.
Incremental: While there is a focus on development and improvement, it pertains to tourism potential rather than housing sites or structural repairs. Hence, it does not match incremental activities in the housing context.
Social: There is no mention of community land trusts, cooperative housing, or public housing initiatives, so this class is not applicable.
Market: Although there is a business angle related to tourism and services, it doesn't specifically relate to home rental, mortgages, or market-rate housing. Therefore, it doesn't match the market category within housing.
Urban: The project focuses on an entire region (Imereti) without specifying particular urban locations; thus, this classification does not apply.
Rural: Similarly, while Imereti might contain rural areas, there is no explicit mention of activities in specific rural locations. Hence, it doesn't fit the rural category."
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,"Housing: The text mentions 'housing improvements,' which aligns with upgrading inadequate housing within the expanded definition of housing.
Homelessness: There is no explicit mention of activities related to homeless shelters or tents, so it does not match this class.
Transitional: The description lacks reference to emergency shelters or temporary supportive housing, so it doesn't fit this category.
Incremental: 'Housing improvements' could involve slum upgrading and neighborhood integration, which are aspects of incremental housing. However, the text is more general and does not explicitly mention these activities.
Social: The focus on supporting disadvantaged communities and improving income generation could imply elements of social housing, but there's no explicit mention of community land trusts or cooperative housing.
Market: There is no indication of home-rental, mortgages, rent-to-own housing, or market-rate housing in the text, so it does not match this class.
Urban: The sector is explicitly mentioned as 'urban development and management,' aligning with urban activities.
Rural: There's no mention of rural locations or activities, so it does not fit this category."
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,"Housing: The text explicitly mentions the construction of housing for poor families, which fits within this category.
Homelessness: There is no mention of tents, encampments, or shelters specifically for homeless individuals; therefore, it does not match.
Transitional: The activity does not describe emergency, refugee, or temporary supportive housing, so it doesn't fit here.
Incremental: While the project involves initial construction, there's no explicit mention of incremental improvements such as slum upgrading or structural repairs.
Social: There is no reference to community land trusts, cooperative housing, or public housing; hence, it does not match this category.
Market: The project focuses on low-cost housing for poor families rather than market-rate housing, rentals, or mortgages, so it doesn't fit here.
Urban: Although the location is in an urbanized setting like a taluk, there's no explicit focus on urban-specific activities beyond site location; thus, it's not clearly matched.
Rural: The project takes place in Uttara Kannada, a district that could have rural characteristics. However, since it doesn't explicitly highlight rural-focused activities, this is not a clear match."
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Housing: The text does not explicitly mention housing or related activities such as construction, upgrading, or provision of shelter.
Homelessness: While the project deals with a population that might be at risk of homelessness, it specifically mentions migrants who do not use shelters but does not directly describe tents, encampments, or homeless shelters.
Transitional: The text explicitly mentions providing assistance to transmigrated populations and references migration stations and asylum seekers. This aligns with the definition of transitional activities like emergency shelters and temporary supportive housing for displaced individuals.
Incremental: There is no mention of housing sites, services, technical assistance, slum upgrading, structural repairs, or neighborhood integration, which are integral to incremental classification.
Social: The text does not describe community land trusts, cooperative housing, or public housing, hence it doesn't fit the social category.
Market: No reference is made to home-rental, mortgages, rent-to-own, or market-rate housing activities.
Urban: There are no explicit references to specific urban locations where the activities take place.
Rural: Similarly, there are no mentions of specific rural locations related to the project's implementation."
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,"Housing: The text explicitly mentions improving the habitat by resolving salubridad and poca durabilidad, indicating a focus on upgrading inadequate housing. Additionally, evaluating structural integrity and proposing improvements align with housing provision activities.
Homelessness: There is no mention of tents, encampments, or shelters for the homeless in the description, so this class does not match.
Transitional: The project description does not refer to emergency shelters, refugee shelters, refugee camps, or temporary supportive housing. Hence, it doesn't fit the transitional category.
Incremental: The focus on studying and proposing improvements, including local construction techniques for better thermal comfort, suggests a form of incremental housing services and technical assistance. Censar (census) to evaluate population needs aligns with neighborhood integration.
Social: There is no reference to community land trusts, cooperative housing, or public housing in the description; therefore, it does not match this class.
Market: The project does not describe activities related to home-rental, mortgages, rent-to-own housing, or market-rate housing, so it doesn't fit into the market category.
Urban: There is no explicit mention of specific urban locations within the text; therefore, this class isn't applicable based on the given information.
Rural: The text does not provide details about specific rural activities. However, the term 'autoconstruidas' (self-built) often implies a rural context in developing regions, yet it's not explicitly stated."
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,"Housing: The text mentions 'shelter' as a key activity, which aligns with the provision of housing or emergency shelters for IDPs. This makes it a match.
Homelessness: There is no specific mention of tents, encampments, or homeless shelters in this context, so it doesn't explicitly fit under homelessness.
Transitional: The description mentions shelter and services for vulnerable Syrian IDPs, which often involves temporary supportive housing or emergency shelters. This makes it a match.
Incremental: There's no mention of slum upgrading, housing sites, or neighborhood integration in the text, so it doesn't fit under incremental housing activities.
Social: The description does not include any mention of community land trusts, cooperative housing, or public housing, so this class is not a match.
Market: The text does not discuss home-rental, mortgages, rent-to-own housing, or market-rate housing, thus it doesn't fit the market category.
Urban: The project title includes 'urban services,' indicating activities in urban settings, which makes it a match for the urban class.
Rural: There is no mention of rural locations or activities within them; hence this class does not apply."
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,"Housing: The text mentions providing shelter for the homeless but does not explicitly describe any form of housing provision like construction or upgrading. Focus is on outreach rather than direct housing solutions.
Homelessness: The project's main aim is to provide shelter for the homeless in specific areas, directly addressing homelessness.
Transitional: The description includes providing shelters for men and single women but does not specify them as temporary or emergency shelters; thus, it may not strictly fall under 'transitional.'
Incremental: There is no mention of services like housing technical assistance or slum upgrading that would qualify this project as incremental.
Social: The activity focuses on providing shelter and care for marginalized communities, aligning with the social protection sector rather than explicitly mentioning community land trusts or cooperative housing.
Market: The description does not involve market-rate housing, mortgages, or home-rental services, thus it's unrelated to the market class.
Urban: The project takes place in specific urban locations within Delhi, making this a clear match for the 'urban' classification.
Rural: There is no mention of rural areas; the focus is strictly on urban settings."
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,"Housing: The text does not explicitly describe activities related to housing provision or shelter construction; however, it mentions children in favelas, which may imply an urban context but is not focused on housing itself.
Homelessness: While the text refers to street and favela children who could be considered homeless or inadequately housed, there's no explicit mention of tents, encampments, or shelters for the homeless.
Transitional: The description includes improving conditions for vulnerable children and potentially moving them from temporary situations, yet it does not explicitly describe emergency shelters, refugee shelters, or temporary supportive housing.
Incremental: There is a focus on community reintegration and improved living environments, suggesting incremental improvements in social services rather than direct housing interventions like site development or structural repairs.
Social: The project involves local organizations working with communities to improve children's rights; however, there’s no explicit mention of community land trusts or cooperative/public housing models.
Market: There is no mention of activities related to home-rental, mortgages, rent-to-own housing, or market-rate housing.
Urban: The project operates in urban favelas of newly industrialized cities and targets specific groups such as street children and those involved with the law, clearly indicating an urban setting.
Rural: There is no mention of activities taking place in rural settings; the focus remains on urban areas."
